time,latitude,longitude,depth,mag,place
2023-01-30T18:45:37.301Z,12.1356,93.5221,104.548,4.9,"99 km ENE of Port Blair, India"
2023-01-30T17:07:45.118Z,35.7681,79.8368,10.0,5.3,Kashmir-Xinjiang border region
2023-01-29T07:54:47.324Z,33.5209,72.9093,32.385,4.4,"15 km WSW of Rawalpindi, Pakistan"
2023-01-25T16:02:10.344Z,35.7891,79.8617,10.0,5.3,"146 km S of Hotan, China"
2023-01-24T08:58:32.284Z,29.5974,81.6522,25.227,5.6,"62 km NW of Jumla, Nepal"
2023-01-23T13:42:03.274Z,24.8127,93.0266,10.0,5.1,"2 km NE of Lakhipur, India"
2023-01-21T19:25:19.793Z,4.5702,95.0354,56.006,4.5,"112 km SSW of Banda Aceh, Indonesia"
2023-01-20T01:20:11.791Z,35.4849,80.3517,10.0,4.2,"183 km SSE of Hotan, China"
2023-01-19T11:34:03.747Z,10.0936,93.5847,10.0,4.8,"Andaman Islands, India region"
2023-01-19T11:30:42.468Z,35.5411,71.4241,96.044,5.1,"47 km ENE of P?r?n, Afghanistan"
2023-01-19T01:17:56.734Z,12.1382,94.4587,10.0,4.5,"Andaman Islands, India region"
2023-01-18T01:46:55.746Z,11.5055,95.1941,10.0,4.4,"267 km E of Port Blair, India"
2023-01-16T20:20:12.456Z,23.5913,92.4156,10.0,4.1,"34 km SW of Sairang, India"
2023-01-16T11:44:59.521Z,35.7022,80.2482,10.0,4.3,"158 km S of Hotan, China"
2023-01-16T11:29:41.803Z,35.7622,80.0515,10.0,4.2,"149 km S of Hotan, China"
2023-01-15T04:03:06.634Z,21.9399,96.0213,10.0,4.3,"7 km WSW of Mandalay, Myanmar"
2023-01-14T08:02:29.331Z,32.9751,92.4784,10.0,4.3,"170 km NNE of Nagqu, China"
2023-01-10T23:00:07.145Z,11.2892,91.8207,20.942,4.1,"107 km WSW of Bamboo Flat, India"
2023-01-10T01:43:03.620Z,26.7458,96.539,57.15,4.6,Myanmar
2023-01-09T12:51:34.613Z,24.299,98.7509,10.0,4.2,
2023-01-07T21:18:36.949Z,11.9644,92.6224,31.088,4.2,"31 km NNW of Bamboo Flat, India"
2023-01-05T05:51:24.614Z,24.1249,95.8673,10.751,4.5,Myanmar
2023-01-04T10:04:28.046Z,31.7032,73.979,10.0,4.2,"1 km SSW of Shekhupura, Pakistan"
2023-01-04T05:02:03.826Z,33.2044,87.0217,10.0,4.1,
2023-01-03T01:05:36.386Z,10.7847,95.0957,10.0,4.3,"274 km ESE of Port Blair, India"
2023-01-03T00:22:01.686Z,10.8475,95.1111,10.0,4.1,"273 km ESE of Port Blair, India"
2023-01-02T21:39:24.623Z,5.3792,97.0686,18.646,4.4,
2023-01-02T20:11:27.551Z,10.8133,91.5951,10.0,4.4,"156 km SW of Bamboo Flat, India"
2023-01-02T10:39:59.627Z,5.4492,97.1518,10.0,5.0,"northern Sumatra, Indonesia"
2023-01-02T04:21:34.794Z,27.5974,90.3069,35.0,4.4,"22 km WNW of Trongsa, Bhutan"
2023-01-01T21:24:15.849Z,29.7295,70.1934,10.0,4.3,"25 km NW of Dajal, Pakistan"
2023-01-01T05:27:09.979Z,17.4535,93.4248,39.85,4.7,"157 km WNW of Pathein, Myanmar"
2022-12-31T19:49:41.679Z,28.7228,76.6313,10.0,4.1,"Haryana, India"
2022-12-30T08:13:20.446Z,21.917,94.4673,99.728,4.2,Myanmar
2022-12-28T04:18:04.322Z,23.2307,94.1297,45.576,4.5,"53 km SSW of Mawlaik, Myanmar"
2022-12-27T20:22:03.128Z,28.4898,83.1553,18.597,4.6,"48 km WNW of B?glung, Nepal"
2022-12-27T19:38:12.218Z,28.926,83.6137,24.596,4.0,"55 km N of Chitre, Nepal"
2022-12-27T02:29:38.069Z,11.4848,95.0,10.0,4.1,"246 km E of Port Blair, India"
2022-12-26T22:50:52.654Z,9.0305,93.8649,10.376,4.3,"Nicobar Islands, India region"
2022-12-26T10:39:15.126Z,33.5227,81.8143,10.0,4.3,western Xizang
2022-12-23T01:31:21.071Z,28.4999,83.1015,10.0,4.5,"54 km WNW of B?glung, Nepal"
2022-12-23T01:30:55.904Z,28.5471,83.0809,10.0,4.2,"58 km WNW of B?glung, Nepal"
2022-12-22T02:47:03.461Z,35.5858,99.0266,10.0,4.9,"271 km WSW of Xining, China"
2022-12-20T21:21:15.970Z,24.5341,96.154,10.157,4.3,"113 km WNW of Bhamo, Myanmar"
2022-12-20T02:12:04.202Z,31.8349,94.2256,10.0,4.4,"209 km E of Nagqu, China"
2022-12-19T17:31:17.786Z,20.0744,95.9786,10.0,4.5,
2022-12-18T16:07:43.536Z,33.5804,84.4438,10.0,4.4,
2022-12-18T13:29:08.283Z,34.4629,82.5664,10.0,4.7,western Xizang
2022-12-18T07:20:42.058Z,22.5559,93.7959,39.483,4.2,"21 km ESE of Hakha, Myanmar"
2022-12-16T07:58:32.398Z,21.8211,95.8905,23.982,4.6,"11 km SW of Sagaing, Myanmar"
2022-12-15T17:12:53.035Z,24.8414,95.0837,101.752,4.4,"106 km E of Yairipok, India"
2022-12-14T20:46:31.402Z,21.8573,95.8778,10.0,4.8,Myanmar
2022-12-13T08:38:58.807Z,6.0908,93.1176,19.266,4.9,
2022-12-12T14:41:36.662Z,30.7282,96.3491,10.0,4.3,"91 km WSW of Qamdo, China"
2022-12-12T07:18:46.401Z,12.736,93.633,85.927,4.5,"151 km NE of Bamboo Flat, India"
2022-12-11T01:52:46.957Z,34.6418,69.3476,25.69,4.3,"20 km NE of Kabul, Afghanistan"
2022-12-10T09:43:37.872Z,5.1858,95.8587,8.434,4.4,"24 km SSW of Sigli, Indonesia"
2022-12-09T15:40:44.925Z,26.0254,95.3931,99.202,4.5,Myanmar-India border region
2022-12-06T19:54:42.511Z,5.5025,89.8303,10.0,4.5,
2022-12-05T03:02:58.006Z,19.1042,89.8755,45.293,4.9,Bay of Bengal
2022-12-04T11:33:49.125Z,16.2075,96.1565,10.0,4.0,"51 km E of Pyapon, Myanmar"
2022-12-03T06:24:03.902Z,34.3699,85.1572,10.0,4.6,western Xizang
2022-12-03T01:21:40.640Z,35.4013,71.0115,97.436,4.3,"8 km ESE of P?r?n, Afghanistan"
2022-12-01T00:34:02.012Z,21.5043,94.8626,146.092,4.0,"29 km NW of Pakokku, Myanmar"
2022-11-30T14:39:32.589Z,12.4347,93.9585,135.727,4.0,"156 km ENE of Port Blair, India"
2022-11-29T11:26:25.241Z,32.3249,97.2068,10.0,4.0,"132 km N of Qamdo, China"
2022-11-19T01:21:06.892Z,29.9755,68.2441,36.082,4.2,"32 km ESE of Harnai, Pakistan"
2022-11-18T22:26:52.838Z,34.6684,70.5727,10.0,4.0,"29 km NNE of Jal?l?b?d, Afghanistan"
2022-11-18T06:13:18.603Z,33.4826,81.7097,10.0,4.5,
2022-11-17T23:45:15.877Z,33.4034,88.0892,10.778,4.1,western Xizang
2022-11-17T15:38:38.137Z,7.5065,94.0431,57.048,4.3,"227 km NW of Sabang, Indonesia"
2022-11-17T08:35:45.861Z,33.5036,72.1278,25.92,4.4,"12 km NE of Jand, Pakistan"
2022-11-16T16:02:53.870Z,31.8986,76.9792,10.0,4.4,"13 km WSW of Kulu, India"
2022-11-14T04:29:12.554Z,33.0877,92.051,10.0,4.0,"178 km N of Nagqu, China"
2022-11-13T22:12:16.150Z,31.6076,73.0214,10.0,4.4,"13 km SSE of Chiniot, Pakistan"
2022-11-13T15:44:46.024Z,33.6266,82.0467,10.0,4.1,western Xizang
2022-11-12T14:27:05.131Z,29.3523,81.1777,10.0,5.2,
2022-11-11T01:32:19.091Z,23.0257,94.1073,42.858,4.2,"45 km ENE of Falam, Myanmar"
2022-11-10T05:01:05.611Z,28.3835,94.4118,15.0,5.5,"16 km SSE of Shi Yomi, India"
2022-11-09T23:28:02.358Z,29.352,81.1564,10.0,4.3,Nepal
2022-11-09T20:59:12.045Z,7.3617,94.2277,9.31,4.7,"Nicobar Islands, India region"
2022-11-09T00:57:14.321Z,29.9803,80.2903,22.974,4.4,"26 km WNW of Dh?rchula, India"
2022-11-08T20:27:22.316Z,29.2917,81.1593,11.0,5.7,Nepal
2022-11-08T15:22:35.973Z,29.3448,81.1922,10.0,4.7,"26 km ENE of Dipayal, Nepal"
2022-11-08T06:27:02.122Z,23.0649,94.5122,105.393,4.7,"64 km S of Mawlaik, Myanmar"
2022-11-07T23:07:22.073Z,28.9207,86.6701,10.0,4.2,"108 km N of Lobujya, Nepal"
2022-11-06T16:28:40.298Z,27.9764,88.2153,10.0,4.0,"59 km NNW of Mangan, India"
2022-11-06T03:03:03.944Z,30.7102,78.5669,22.322,4.6,"Uttaranchal, India"
2022-11-01T22:06:54.963Z,33.1963,92.0137,10.0,5.0,"190 km N of Nagqu, China"
2022-11-01T13:48:21.193Z,32.9696,86.7743,10.0,4.9,
2022-11-01T13:09:49.581Z,19.6848,94.5597,68.26,4.6,"64 km SSW of Minbu, Myanmar"
2022-11-01T05:30:54.738Z,4.6109,92.9421,10.0,4.5,"284 km WSW of Banda Aceh, Indonesia"
2022-11-01T03:13:53.303Z,23.0012,80.1303,10.0,4.3,"13 km SE of Barela, India"
2022-10-31T00:45:56.922Z,26.6099,96.5205,10.0,4.6,"53 km NNW of Sarupathar, India"
2022-10-30T23:02:28.181Z,13.5414,94.2712,10.0,4.5,"264 km NE of Bamboo Flat, India"
2022-10-30T14:45:06.392Z,25.1215,92.205,10.0,4.2,"31 km NNW of Kar?mganj, India"
2022-10-30T03:41:50.868Z,29.5573,81.0921,10.0,4.5,"36 km NNE of Dipayal, Nepal"
2022-10-29T05:38:20.787Z,23.7023,94.4944,96.454,4.4,Myanmar
2022-10-25T16:54:24.109Z,26.3746,67.4179,10.0,4.4,Pakistan
2022-10-25T11:09:34.944Z,20.1966,94.4057,64.331,4.4,"49 km W of Minbu, Myanmar"
2022-10-21T20:36:30.564Z,6.2459,96.0106,232.808,4.3,"86 km ENE of Sabang, Indonesia"
2022-10-21T16:00:43.782Z,24.1894,94.6086,89.761,4.5,"64 km NNE of Mawlaik, Myanmar"
2022-10-20T06:46:55.511Z,11.5884,93.1518,90.086,5.1,"45 km E of Port Blair, India"
2022-10-19T21:36:33.541Z,18.8243,99.1277,5.411,4.2,"8 km N of San Kamphaeng, Thailand"
2022-10-19T10:08:35.308Z,27.8248,86.0362,22.2,4.2,"16 km SSE of Kod?ri??, Nepal"
2022-10-19T09:22:40.123Z,27.894,86.0386,23.943,4.9,
2022-10-18T12:09:45.297Z,32.3641,78.6637,10.0,4.5,"125 km NE of Sar?han, India"
2022-10-17T08:48:23.111Z,33.5679,81.8588,10.0,4.7,
2022-10-16T00:52:13.602Z,22.8755,95.9272,10.0,4.6,"41 km NE of Shwebo, Myanmar"
2022-10-14T13:19:13.983Z,9.1283,94.0138,10.0,4.5,"Nicobar Islands, India region"
2022-10-13T23:58:22.572Z,23.3661,82.4336,10.0,4.9,"17 km NW of Baikunthpur, India"
2022-10-12T11:19:31.843Z,29.9412,99.6333,10.0,4.3,"224 km W of Kangding, China"
2022-10-11T04:51:00.817Z,19.6388,94.6638,72.46,4.1,Myanmar
2022-10-11T01:35:49.776Z,9.9577,93.911,10.0,4.1,"227 km SE of Port Blair, India"
2022-10-07T11:29:46.857Z,7.3762,94.3936,10.0,4.9,"193 km NNW of Sabang, Indonesia"
2022-10-03T15:44:49.369Z,8.3607,91.1987,10.0,4.1,"Nicobar Islands, India region"
2022-10-02T21:12:09.972Z,33.2718,92.3768,10.0,4.2,"201 km N of Nagqu, China"
2022-09-30T02:23:15.751Z,24.7823,94.9256,10.0,4.6,"89 km E of Yairipok, India"
2022-09-29T22:22:36.730Z,23.1002,94.8968,150.0,5.6,"78 km SE of Mawlaik, Myanmar"
2022-09-28T12:13:36.124Z,14.4837,92.9479,10.0,4.6,
2022-09-27T01:04:58.038Z,32.8847,73.58,10.0,4.3,"15 km WSW of Jhelum, Pakistan"
2022-09-26T15:07:53.838Z,35.9041,70.6052,101.245,4.2,"60 km NNW of P?r?n, Afghanistan"
2022-09-25T17:12:37.676Z,29.8996,99.585,10.0,4.2,"229 km W of Kangding, China"
2022-09-25T12:02:48.675Z,18.2251,94.3829,22.461,4.4,"99 km W of Myanaung, Myanmar"
2022-09-23T14:32:28.661Z,33.6845,81.9355,10.0,4.4,western Xizang
2022-09-23T02:47:43.266Z,24.8107,98.681,10.0,4.3,"144 km ESE of Myitkyina, Myanmar"
2022-09-20T14:08:44.334Z,32.4185,81.4719,10.0,4.2,"237 km N of Burang, China"
2022-09-20T10:23:14.632Z,29.8057,99.3248,10.0,4.4,"222 km N of Shangri-La, China"
2022-09-20T04:18:30.861Z,34.7011,70.603,10.0,4.4,"Hindu Kush region, Afghanistan"
2022-09-19T19:37:15.598Z,34.6823,80.1396,10.0,4.3,"241 km ENE of Leh, India"
2022-09-19T16:28:27.802Z,34.6729,80.1671,10.0,4.7,"244 km ENE of Leh, India"
2022-09-19T12:05:48.432Z,29.9356,99.7046,10.0,4.0,"217 km W of Kangding, China"
2022-09-19T04:00:00.077Z,35.5275,74.9896,10.0,4.6,"63 km WNW of Skardu, Pakistan"
2022-09-19T00:39:26.290Z,31.2049,82.7913,16.108,4.1,"184 km ENE of Burang, China"
2022-09-18T21:34:13.981Z,21.3093,94.8301,128.051,4.5,"26 km W of Pakokku, Myanmar"
2022-09-18T15:06:41.302Z,35.9282,77.9225,10.0,4.1,"151 km NE of Thang, India"
2022-09-18T12:57:55.916Z,28.8975,95.861,10.0,4.5,"105 km NNE of P?sigh?t, India"
2022-09-17T23:33:29.809Z,26.368,96.6018,122.703,4.3,"27 km NW of Sarupathar, India"
2022-09-17T18:01:48.028Z,16.6177,95.7575,10.0,4.3,near the south coast of Myanmar
2022-09-17T02:15:17.988Z,7.7191,91.4602,10.0,4.5,"Nicobar Islands, India region"
2022-09-15T22:49:37.729Z,35.907,77.7506,10.0,4.9,"139 km NE of Thang, India"
2022-09-13T21:35:13.787Z,26.6232,96.133,10.0,4.4,"71 km SE of Khonsa, India"
2022-09-09T03:08:38.655Z,33.5248,81.911,10.0,4.5,western Xizang
2022-09-08T18:56:51.416Z,35.9625,77.7205,10.0,4.0,
2022-09-08T01:50:50.946Z,35.9009,77.8306,10.0,4.4,"143 km NE of Thang, India"
2022-09-07T08:09:13.956Z,34.5449,70.7074,10.0,4.6,"26 km ENE of Jal?l?b?d, Afghanistan"
2022-09-06T19:20:57.093Z,23.4002,93.8588,60.682,4.2,"57 km NNE of Falam, Myanmar"
2022-09-06T17:21:09.751Z,33.6179,81.9599,10.0,4.3,western Xizang
2022-09-05T11:57:01.033Z,34.5991,70.5807,10.0,4.6,"22 km NNE of Jal?l?b?d, Afghanistan"
2022-09-05T07:00:02.000Z,31.8067,92.8086,10.0,4.4,"80 km ENE of Nagqu, China"
2022-09-05T05:38:06.906Z,31.8483,92.7896,10.0,4.5,"80 km ENE of Nagqu, China"
2022-09-05T00:48:40.985Z,33.6729,88.8317,12.679,4.2,western Xizang
2022-09-04T21:57:35.743Z,34.6636,70.7117,10.0,5.1,"35 km NE of Jal?l?b?d, Afghanistan"
2022-09-02T07:13:05.499Z,13.9359,93.6367,55.814,5.0,"Andaman Islands, India region"
2022-08-31T09:13:10.583Z,33.5925,82.0102,10.0,4.5,
2022-08-29T12:54:02.976Z,29.024,96.1153,10.0,4.2,"113 km NNW of Hayuliang, India"
2022-08-29T12:04:35.708Z,35.0258,81.2853,10.0,4.3,Xinjiang-Xizang border region
2022-08-28T07:42:30.402Z,30.0903,99.7323,10.0,4.3,"Western Sichuan, China"
2022-08-28T03:16:16.963Z,10.3923,93.8489,10.0,4.6,"185 km SE of Port Blair, India"
2022-08-26T04:52:25.244Z,25.0099,95.2338,91.384,4.6,"103 km SE of Phek, India"
2022-08-25T21:25:39.860Z,35.928,70.9051,94.985,4.4,"56 km N of P?r?n, Afghanistan"
2022-08-25T00:50:35.832Z,30.0203,99.5745,10.0,4.0,"229 km W of Kangding, China"
2022-08-24T21:48:11.227Z,23.7516,94.5482,96.15,5.0,"18 km NE of Mawlaik, Myanmar"
2022-08-24T17:34:21.884Z,33.1509,75.7219,10.0,4.2,"16 km E of Doda, India"
2022-08-22T20:50:28.977Z,33.2367,75.8439,10.0,4.0,"11 km SE of Kishtw?r, India"
2022-08-22T13:53:55.885Z,33.0822,69.508,35.13,4.6,"47 km SW of Kh?st, Afghanistan"
2022-08-21T18:29:48.155Z,8.2238,94.1633,10.0,4.5,"287 km NNW of Sabang, Indonesia"
2022-08-19T19:42:42.048Z,28.0619,81.1968,10.0,4.9,"12 km NE of Dhaurahra, India"
2022-08-16T02:22:57.072Z,33.0358,90.2706,10.0,4.1,"241 km NW of Nagqu, China"
2022-08-15T13:05:06.456Z,33.1189,90.4421,10.0,4.5,"237 km NW of Nagqu, China"
2022-08-14T09:53:16.643Z,26.8918,67.4689,10.0,4.3,"21 km W of Goth Phulji, Pakistan"
2022-08-14T08:24:33.414Z,33.0004,92.8321,10.0,4.2,"184 km NNE of Nagqu, China"
2022-08-14T08:20:00.340Z,33.1157,92.7977,5.0,5.7,"194 km NNE of Nagqu, China"
2022-08-10T17:48:16.672Z,32.6407,83.4054,10.0,4.1,western Xizang
2022-08-10T08:23:38.648Z,33.6101,81.8439,10.0,4.0,western Xizang
2022-08-10T08:15:32.355Z,33.581,81.7365,10.0,4.4,western Xizang
2022-08-07T15:44:30.673Z,10.2856,93.8306,10.349,4.6,"193 km SE of Port Blair, India"
2022-08-05T23:41:04.059Z,27.7936,84.9833,10.0,4.4,"31 km WNW of Kirtipur, Nepal"
2022-08-02T13:42:24.461Z,32.5867,69.0816,10.0,4.3,"56 km NW of Wana, Pakistan"
2022-07-31T02:28:08.777Z,27.1316,86.7827,10.0,5.1,"26 km W of Bhojpur, Nepal"
2022-07-30T20:00:00.283Z,25.1564,89.5344,10.0,4.0,
2022-07-28T19:26:46.105Z,23.3819,82.5056,9.957,4.7,"14 km NNW of Baikunthpur, India"
2022-07-26T15:13:43.440Z,23.5693,93.2709,42.7,4.6,"25 km NE of Khawhai, India"
2022-07-26T03:12:07.119Z,34.644,80.2097,10.0,4.2,"247 km ENE of Leh, India"
