index,time,latitude,longitude,depth,mag,place
0,2023-01-30T18:45:37.301Z,12.1356,93.5221,104.548,4.9,"99 km ENE of Port Blair, India"
5,2023-01-23T13:42:03.274Z,24.8127,93.0266,10.0,5.1,"2 km NE of Lakhipur, India"
11,2023-01-18T01:46:55.746Z,11.5055,95.1941,10.0,4.4,"267 km E of Port Blair, India"
12,2023-01-16T20:20:12.456Z,23.5913,92.4156,10.0,4.1,"34 km SW of Sairang, India"
17,2023-01-10T23:00:07.145Z,11.2892,91.8207,20.942,4.1,"107 km WSW of Bamboo Flat, India"
20,2023-01-07T21:18:36.949Z,11.9644,92.6224,31.088,4.2,"31 km NNW of Bamboo Flat, India"
24,2023-01-03T01:05:36.386Z,10.7847,95.0957,10.0,4.3,"274 km ESE of Port Blair, India"
25,2023-01-03T00:22:01.686Z,10.8475,95.1111,10.0,4.1,"273 km ESE of Port Blair, India"
27,2023-01-02T20:11:27.551Z,10.8133,91.5951,10.0,4.4,"156 km SW of Bamboo Flat, India"
32,2022-12-31T19:49:41.679Z,28.7228,76.6313,10.0,4.1,"Haryana, India"
37,2022-12-27T02:29:38.069Z,11.4848,95.0,10.0,4.1,"246 km E of Port Blair, India"
50,2022-12-15T17:12:53.035Z,24.8414,95.0837,101.752,4.4,"106 km E of Yairipok, India"
54,2022-12-12T07:18:46.401Z,12.736,93.633,85.927,4.5,"151 km NE of Bamboo Flat, India"
64,2022-11-30T14:39:32.589Z,12.4347,93.9585,135.727,4.0,"156 km ENE of Port Blair, India"
72,2022-11-16T16:02:53.870Z,31.8986,76.9792,10.0,4.4,"13 km WSW of Kulu, India"
78,2022-11-10T05:01:05.611Z,28.3835,94.4118,15.0,5.5,"16 km SSE of Shi Yomi, India"
81,2022-11-09T00:57:14.321Z,29.9803,80.2903,22.974,4.4,"26 km WNW of Dh?rchula, India"
86,2022-11-06T16:28:40.298Z,27.9764,88.2153,10.0,4.0,"59 km NNW of Mangan, India"
87,2022-11-06T03:03:03.944Z,30.7102,78.5669,22.322,4.6,"Uttaranchal, India"
92,2022-11-01T03:13:53.303Z,23.0012,80.1303,10.0,4.3,"13 km SE of Barela, India"
93,2022-10-31T00:45:56.922Z,26.6099,96.5205,10.0,4.6,"53 km NNW of Sarupathar, India"
94,2022-10-30T23:02:28.181Z,13.5414,94.2712,10.0,4.5,"264 km NE of Bamboo Flat, India"
95,2022-10-30T14:45:06.392Z,25.1215,92.205,10.0,4.2,"31 km NNW of Kar?mganj, India"
102,2022-10-20T06:46:55.511Z,11.5884,93.1518,90.086,5.1,"45 km E of Port Blair, India"
106,2022-10-18T12:09:45.297Z,32.3641,78.6637,10.0,4.5,"125 km NE of Sar?han, India"
110,2022-10-13T23:58:22.572Z,23.3661,82.4336,10.0,4.9,"17 km NW of Baikunthpur, India"
113,2022-10-11T01:35:49.776Z,9.9577,93.911,10.0,4.1,"227 km SE of Port Blair, India"
117,2022-09-30T02:23:15.751Z,24.7823,94.9256,10.0,4.6,"89 km E of Yairipok, India"
129,2022-09-19T19:37:15.598Z,34.6823,80.1396,10.0,4.3,"241 km ENE of Leh, India"
130,2022-09-19T16:28:27.802Z,34.6729,80.1671,10.0,4.7,"244 km ENE of Leh, India"
135,2022-09-18T15:06:41.302Z,35.9282,77.9225,10.0,4.1,"151 km NE of Thang, India"
136,2022-09-18T12:57:55.916Z,28.8975,95.861,10.0,4.5,"105 km NNE of P?sigh?t, India"
137,2022-09-17T23:33:29.809Z,26.368,96.6018,122.703,4.3,"27 km NW of Sarupathar, India"
140,2022-09-15T22:49:37.729Z,35.907,77.7506,10.0,4.9,"139 km NE of Thang, India"
141,2022-09-13T21:35:13.787Z,26.6232,96.133,10.0,4.4,"71 km SE of Khonsa, India"
144,2022-09-08T01:50:50.946Z,35.9009,77.8306,10.0,4.4,"143 km NE of Thang, India"
155,2022-08-29T12:54:02.976Z,29.024,96.1153,10.0,4.2,"113 km NNW of Hayuliang, India"
158,2022-08-28T03:16:16.963Z,10.3923,93.8489,10.0,4.6,"185 km SE of Port Blair, India"
159,2022-08-26T04:52:25.244Z,25.0099,95.2338,91.384,4.6,"103 km SE of Phek, India"
163,2022-08-24T17:34:21.884Z,33.1509,75.7219,10.0,4.2,"16 km E of Doda, India"
164,2022-08-22T20:50:28.977Z,33.2367,75.8439,10.0,4.0,"11 km SE of Kishtw?r, India"
167,2022-08-19T19:42:42.048Z,28.0619,81.1968,10.0,4.9,"12 km NE of Dhaurahra, India"
176,2022-08-07T15:44:30.673Z,10.2856,93.8306,10.349,4.6,"193 km SE of Port Blair, India"
181,2022-07-28T19:26:46.105Z,23.3819,82.5056,9.957,4.7,"14 km NNW of Baikunthpur, India"
182,2022-07-26T15:13:43.440Z,23.5693,93.2709,42.7,4.6,"25 km NE of Khawhai, India"
183,2022-07-26T03:12:07.119Z,34.644,80.2097,10.0,4.2,"247 km ENE of Leh, India"
185,2022-07-24T07:06:54.744Z,30.7594,78.396,20.888,4.0,"5 km NW of Uttark?shi, India"
190,2022-07-16T18:12:48.028Z,24.1883,94.4481,76.459,4.5,"58 km SE of Kakching, India"
196,2022-07-14T01:36:40.836Z,10.3022,94.1785,10.0,4.4,"217 km SE of Port Blair, India"
198,2022-07-11T02:40:01.281Z,23.3845,82.4802,10.0,4.6,"15 km NNW of Baikunthpur, India"
200,2022-07-09T00:52:02.519Z,16.9254,75.7188,10.0,4.5,"Karnataka, India"
201,2022-07-08T21:34:33.544Z,10.3187,94.1649,10.0,4.5,"215 km SE of Port Blair, India"
204,2022-07-08T19:36:45.401Z,10.3507,94.0642,10.0,4.2,"204 km SE of Port Blair, India"
207,2022-07-08T04:30:25.912Z,27.8815,94.1134,10.0,4.3,"41 km NE of Ziro, India"
210,2022-07-07T01:02:12.039Z,10.4157,94.0481,10.0,4.3,"198 km SE of Port Blair, India"
211,2022-07-06T19:51:51.066Z,10.3391,94.2494,10.0,4.6,"220 km SE of Port Blair, India"
213,2022-07-06T17:52:00.412Z,10.4009,94.3816,10.0,4.5,"226 km SE of Port Blair, India"
214,2022-07-06T15:16:27.036Z,10.3877,94.0749,10.0,4.5,"202 km SE of Port Blair, India"
215,2022-07-06T08:01:06.482Z,10.368,94.2181,10.0,4.9,"215 km SE of Port Blair, India"
217,2022-07-06T00:26:14.626Z,10.4628,94.1034,10.0,4.9,"199 km SE of Port Blair, India"
219,2022-07-05T14:50:19.975Z,10.553,94.1619,10.0,4.9,"197 km SE of Port Blair, India"
220,2022-07-05T13:16:44.407Z,10.3995,94.1516,10.0,4.2,"207 km SE of Port Blair, India"
222,2022-07-05T10:24:13.165Z,10.4254,94.1424,10.0,4.2,"205 km SE of Port Blair, India"
224,2022-07-05T09:44:02.616Z,10.2992,94.3324,10.0,4.7,"230 km SE of Port Blair, India"
225,2022-07-05T08:19:07.720Z,10.3821,94.0983,10.0,4.3,"204 km SE of Port Blair, India"
226,2022-07-05T07:48:33.145Z,10.2608,94.1562,10.0,4.8,"218 km SE of Port Blair, India"
227,2022-07-05T06:46:45.203Z,10.3286,94.1991,10.0,4.3,"217 km SE of Port Blair, India"
228,2022-07-05T06:06:13.690Z,10.2666,94.2833,10.0,5.0,"228 km SE of Port Blair, India"
229,2022-07-05T03:21:57.190Z,10.4449,93.87,10.0,4.3,"182 km SE of Port Blair, India"
230,2022-07-05T02:34:57.675Z,10.3288,94.0598,10.0,4.9,"206 km SE of Port Blair, India"
231,2022-07-05T01:10:46.372Z,10.2316,94.0501,10.0,4.2,"213 km SE of Port Blair, India"
233,2022-07-05T00:10:04.562Z,10.2778,93.8421,10.0,4.5,"194 km SE of Port Blair, India"
234,2022-07-04T23:38:46.553Z,10.4198,94.0743,10.0,4.5,"200 km SE of Port Blair, India"
235,2022-07-04T23:15:13.225Z,10.2329,94.2382,10.0,4.6,"227 km SE of Port Blair, India"
236,2022-07-04T21:59:01.988Z,10.4627,94.1965,10.0,4.2,"206 km SE of Port Blair, India"
